q,dimension,beta,beta_over_d,observed_alpha,predicted_alpha,abs_error,relative_error,c_fit_without_point
1,0.6309297535714574,0.5,0.7924812503605781,0.16715948899051636,0.5025627969019477,0.33540330791143136,2.0064867985475843,0.6341636432070565
2,1.2618595071429148,0.5,0.3962406251802891,0.7560878090679424,0.2062698919879758,0.5498179170799666,0.7271879145330324,0.5205672484847388
4,2.5237190142858297,0.5,0.19812031259014454,0.7354358263115178,0.10748337151436177,0.627952454797156,0.8538507811709002,0.5425156568206854
6,3.7855785214287447,0.5,0.13208020839342968,0.25188119177042606,0.07478935553849148,0.17709183623193459,0.7030768553506873,0.5662419559160226
8,5.047438028571659,0.5,0.09906015629507227,0.3268762465086952,0.05601194580327565,0.27086430070541956,0.8286447963058532,0.5654336506034965
1,0.6309297535714574,1.0,1.5849625007211563,0.4442158410948777,1.5709915897611766,1.1267757486662988,2.5365501281743725,0.9911853365908513
2,1.2618595071429148,1.0,0.7924812503605781,0.7763917602473845,0.39715042434443615,0.3792413359029484,0.4884664615478523,0.5011480387248697
4,2.5237190142858297,1.0,0.3962406251802891,0.581948471343535,0.21293728487080338,0.3690111864727316,0.634095980389469,0.5373938746788448
6,3.7855785214287447,1.0,0.26416041678685936,0.6410057357421309,0.14286577412849363,0.49813996161363727,0.7771224715125374,0.5408296059881159
8,5.047438028571659,1.0,0.19812031259014454,0.3614392699607721,0.11096330845636923,0.2504759615044029,0.6929959811273071,0.5600804228788052
